received_timestamp,last_price,security_id,tradable,mode,open,close,high,low,change_percent,change_absolute,last_update_time
2024-02-12 09:26:08,45548.9,25,0,66,45664.3,45634.55,45748.5,45523.55,-0.19,-85.65,1707710168
2024-02-12 09:26:09,45554.3,25,0,66,45664.3,45634.55,45748.5,45523.55,-0.18,-80.25,1707710169
2024-02-12 09:26:10,45553.8,25,0,66,45664.3,45634.55,45748.5,45523.55,-0.18,-80.75,1707710170
2024-02-12 09:26:11,45562.25,25,0,66,45664.3,45634.55,45748.5,45523.55,-0.16,-72.3,1707710171
2024-02-12 09:26:13,45561.25,25,0,66,45664.3,45634.55,45748.5,45523.55,-0.16,-73.3,1707710173
2024-02-12 09:26:14,45556.75,25,0,66,45664.3,45634.55,45748.5,45523.55,-0.17,-77.8,1707710174
2024-02-12 09:26:15,45559.9,25,0,66,45664.3,45634.55,45748.5,45523.55,-0.16,-74.65,1707710175
2024-02-12 09:26:16,45564.2,25,0,66,45664.3,45634.55,45748.5,45523.55,-0.15,-70.35,1707710176
2024-02-12 09:26:17,45566.7,25,0,66,45664.3,45634.55,45748.5,45523.55,-0.15,-67.85,1707710177
2024-02-12 09:26:18,45568.0,25,0,66,45664.3,45634.55,45748.5,45523.55,-0.15,-66.55,1707710178
2024-02-12 09:26:19,45565.0,25,0,66,45664.3,45634.55,45748.5,45523.55,-0.15,-69.55,1707710179
2024-02-12 09:26:20,45562.9,25,0,66,45664.3,45634.55,45748.5,45523.55,-0.16,-71.65,1707710180
2024-02-12 09:26:21,45564.4,25,0,66,45664.3,45634.55,45748.5,45523.55,-0.15,-70.15,1707710181
2024-02-12 09:26:22,45566.3,25,0,66,45664.3,45634.55,45748.5,45523.55,-0.15,-68.25,1707710182
2024-02-12 09:26:23,45570.9,25,0,66,45664.3,45634.55,45748.5,45523.55,-0.14,-63.65,1707710183
2024-02-12 09:26:24,45572.15,25,0,66,45664.3,45634.55,45748.5,45523.55,-0.14,-62.4,1707710184
2024-02-12 09:26:25,45571.3,25,0,66,45664.3,45634.55,45748.5,45523.55,-0.14,-63.25,1707710185
2024-02-12 09:26:26,45569.7,25,0,66,45664.3,45634.55,45748.5,45523.55,-0.14,-64.85,1707710186
2024-02-12 09:26:27,45571.35,25,0,66,45664.3,45634.55,45748.5,45523.55,-0.14,-63.2,1707710187
2024-02-12 09:26:28,45570.3,25,0,66,45664.3,45634.55,45748.5,45523.55,-0.14,-64.25,1707710188
