received_timestamp,last_price,security_id,tradable,mode,open,close,high,low,change_percent,change_absolute,last_update_time
2024-02-12 09:26:08,21769.25,13,0,66,21800.8,21782.5,21831.7,21764.0,-0.06,-13.25,1707710167
2024-02-12 09:26:09,21770.25,13,0,66,21800.8,21782.5,21831.7,21764.0,-0.06,-12.25,1707710169
2024-02-12 09:26:10,21770.95,13,0,66,21800.8,21782.5,21831.7,21764.0,-0.05,-11.55,1707710170
2024-02-12 09:26:11,21774.15,13,0,66,21800.8,21782.5,21831.7,21764.0,-0.04,-8.35,1707710171
2024-02-12 09:26:13,21775.5,13,0,66,21800.8,21782.5,21831.7,21764.0,-0.03,-7.0,1707710173
2024-02-12 09:26:14,21773.8,13,0,66,21800.8,21782.5,21831.7,21764.0,-0.04,-8.7,1707710174
2024-02-12 09:26:15,21775.75,13,0,66,21800.8,21782.5,21831.7,21764.0,-0.03,-6.75,1707710175
2024-02-12 09:26:16,21775.5,13,0,66,21800.8,21782.5,21831.7,21764.0,-0.03,-7.0,1707710176
2024-02-12 09:26:17,21776.95,13,0,66,21800.8,21782.5,21831.7,21764.0,-0.03,-5.55,1707710177
2024-02-12 09:26:18,21777.7,13,0,66,21800.8,21782.5,21831.7,21764.0,-0.02,-4.8,1707710178
2024-02-12 09:26:19,21777.35,13,0,66,21800.8,21782.5,21831.7,21764.0,-0.02,-5.15,1707710179
2024-02-12 09:26:20,21776.35,13,0,66,21800.8,21782.5,21831.7,21764.0,-0.03,-6.15,1707710180
2024-02-12 09:26:21,21777.65,13,0,66,21800.8,21782.5,21831.7,21764.0,-0.02,-4.85,1707710181
2024-02-12 09:26:22,21779.7,13,0,66,21800.8,21782.5,21831.7,21764.0,-0.01,-2.8,1707710182
2024-02-12 09:26:23,21780.35,13,0,66,21800.8,21782.5,21831.7,21764.0,-0.01,-2.15,1707710183
2024-02-12 09:26:24,21780.25,13,0,66,21800.8,21782.5,21831.7,21764.0,-0.01,-2.25,1707710184
