"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"590086","ORISSAMINE","Orissa Minerals Developme","B","5.0000","1","ES","E","BSE","7941.4000","5294.3000","","","-1"
"10557","NAVKARCORP","Navkar Corporation","EQ","5.0000","1","ES","E","NSE","122.7000","100.4000","","","896341"
"539819","MUDRA","Mudra Financial Services","X","1.0000","1","ES","E","BSE","4.3000","3.9000","","","-1"
"522073","HITECHGEAR","The Hi-Tech Gears","B","5.0000","1","ES","E","BSE","555.5000","370.4000","","","-1"
"16863","LPDC","Landmark Pr.Dev.Co.Ltd","EQ","5.0000","1","ES","E","NSE","10.7000","8.8000","","","4386481"
"506854","TANFACIND","Tanfac Ind.","B","5.0000","1","ES","E","BSE","2583.0000","1722.0000","","","-1"
"511147","WSFX","Wall Street Finance","XT","1.0000","1","ES","E","BSE","70.6600","63.9400","","","-1"
"531287","NATPLASTI","National Plastic Technolo","X","5.0000","1","ES","E","BSE","490.8500","327.2500","","","-1"
"530129","NILE","Nile","X","5.0000","1","ES","E","BSE","1242.6500","828.4500","","","-1"
"14501","BALAMINES","Balaji Amines","EQ","5.0000","1","ES","E","NSE","2832.4500","1888.3500","","","42348"
"500260","RAMCOCEM","The Ramco Cements","A","5.0000","1","ES","E","BSE","1035.1500","846.9500","","","-1"
"590065","IMPAL","India Motor Parts & Acces","B","5.0000","1","ES","E","BSE","1306.6000","871.1000","","","-1"
"506390","HEUBACHIND","Clariant Chemicals","B","5.0000","1","ES","E","BSE","694.3000","462.9000","","","-1"
"539217","SRESTHA","Srestha Finvest","X","1.0000","1","ES","E","BSE","1.3500","1.2300","","","-1"
"500645","DEEPAKFERT","Deepak Fertilizers & Petr","A","5.0000","1","ES","E","BSE","756.1000","504.1000","","","-1"
"532156","VAIBHAVGBL","Vaibhav Global","A","5.0000","1","ES","E","BSE","571.9500","381.3500","","","-1"
"1216","PRAXIS","PRAXIS HOME RETAIL LTD","BE","5.0000","1","ES","E","NSE","37.1500","33.6500","","","2824748"
"532524","PTC","Ptc India","A","5.0000","1","ES","E","BSE","249.6000","166.4000","","","-1"
"2085","MAHSCOOTER","Maharashtra Scooters","EQ","5.0000","1","ES","E","NSE","8923.4000","5949.0000","","","13439"
"474","3MINDIA","3M India","EQ","5.0000","1","ES","E","NSE","40233.2000","26822.2000","","","2973"
"505250","GGDPROP","G.G.Dandekar Machine Work","XT","5.0000","1","ES","E","BSE","150.2500","135.9500","","","-1"
"524156","TCMLMTD","TCM","XT","1.0000","1","ES","E","BSE","52.2500","47.2900","","","-1"
"505336","HARSHILAGR","Harshil Agrotech","XT","1.0000","1","ES","E","BSE","5.1200","4.9200","","","-1"
"521014","EUROTEXIND","Eurotex Industries","B","1.0000","1","ES","E","BSE","13.9100","12.5900","","","-1"
"10318","PKTEA","The P K Tea Prod Co","BE","5.0000","1","ES","E","NSE","329.4000","298.1000","","","101235"
"530997","UNIQUEO","Unique Organics","X","1.0000","1","ES","E","BSE","125.9800","84.0000","","","-1"
"532051","SWELECTES","Swelect Energy Systems","B","5.0000","1","ES","E","BSE","876.8000","584.6000","","","-1"
"537259","SUYOG","Suyog Telematics","X","5.0000","1","ES","E","BSE","1403.1500","935.4500","","","-1"
"505840","JAIPAN","Jaipan Ind.","X","1.0000","1","ES","E","BSE","42.5100","34.7900","","","-1"
"530053","REALECO","Real Eco-Energy","X","1.0000","1","ES","E","BSE","34.2600","22.8400","","","-1"
"539012","MEGRISOFT","Megri Soft","X","1.0000","1","ES","E","BSE","110.4000","73.6000","","","-1"
"500215","ATFL","Agro Tech Foods","B","5.0000","1","ES","E","BSE","1025.1000","683.4000","","","-1"
"13761","BBL","Bharat Bijlee","EQ","5.0000","1","ES","E","NSE","5285.4500","3523.6500","","","22702"
"9158","BALAJITELE","Balaji Telefilms","EQ","5.0000","1","ES","E","NSE","98.7500","65.8500","","","1214981"
"517393","VINTRON","Vintron Informatics","XT","1.0000","1","ES","E","BSE","21.6500","20.8100","","","-1"
"24184","PIIND","Pi Industries","EQ","5.0000","1","ES","E","NSE","3606.7500","2951.0500","","","30495"
"526506","SYSTMTXC","Systematix Corporate Serv","XT","5.0000","1","ES","E","BSE","816.0000","784.0000","","","-1"
"11999","FCSSOFT","Fcs Software Solutions Lt","EQ","5.0000","1","ES","E","NSE","5.3000","4.4000","","","20617210"
"531278","ELIXIR","Elixir Capital","X","1.0000","1","ES","E","BSE","77.1800","51.4600","","","-1"
"500143","PHCAP","Ph Capital","X","5.0000","1","ES","E","BSE","108.3000","98.0000","","","-1"
"524774","NGLFINE","Ngl Fine-Chem","B","5.0000","1","ES","E","BSE","2286.9500","1524.6500","","","-1"
"539409","NEERAJ","Neeraj Paper Marketing Li","XT","1.0000","1","ES","E","BSE","19.5700","17.7100","","","-1"
"530883","SUCROSA","Super Crop Safe","XT","1.0000","1","ES","E","BSE","20.7100","19.9100","","","-1"
"535566","KIFS","Kifs Financial Services L","X","5.0000","1","ES","E","BSE","198.0000","132.0000","","","-1"
"500875","ITC","ITC","A","5.0000","1","ES","E","BSE","504.5000","412.8000","","","-1"
"521064","TRIDENT","Trident","A","1.0000","1","ES","E","BSE","51.6200","34.4200","","","-1"
"500108","MTNL","Mahanagar Telephone Nigam","B","1.0000","1","ES","E","BSE","41.6400","27.7600","","","-1"
"526723","NTCIND","NTC Industries","X","1.0000","1","ES","E","BSE","118.1600","78.7800","","","-1"
"512489","OASISEC","Oasis Securities","X","5.0000","1","ES","E","BSE","101.8500","92.1500","","","-1"
"517449","MAGNAELQ","Magna Electro Castings Lt","X","5.0000","1","ES","E","BSE","582.9500","388.6500","","","-1"
"530845","SUNSHIEL","Sunshield Chemicals","X","5.0000","1","ES","E","BSE","983.8500","805.0500","","","-1"
"533023","ZFCVINDIA","Wabco India","A","5.0000","1","ES","E","BSE","20856.4500","13904.3500","","","-1"
"20776","BHAGYANGR","Bhagyanagar India","EQ","5.0000","1","ES","E","NSE","113.1500","75.4500","","","1046236"
"27008","HEXATRADEX","HEXA TRADEX LIMITED","EQ","5.0000","1","ES","E","NSE","169.0000","138.3000","","","650782"
"520151","SHREYAS","Shreyas Shipping & Logist","B","5.0000","1","ES","E","BSE","331.7000","221.2000","","","-1"
"8975","PARASPETRO","PARAS PETROFILS LTD.","BE","5.0000","1","ES","E","NSE","2.7500","2.6500","","","10929026"
"9539","SAKAR","Sakar Healthcare","EQ","5.0000","1","ES","E","NSE","500.4500","333.6500","","","239759"
"541988","AAVAS","Aavas Financiers","A","5.0000","1","ES","E","BSE","1794.2000","1196.2000","","","-1"
"512573","AVANTIFEED","Avanti Feeds","A","5.0000","1","ES","E","BSE","611.5000","407.7000","","","-1"
"540724","DIAMONDYD","Prataap Snacks","B","5.0000","1","ES","E","BSE","1621.6500","1081.1500","","","-1"
"532940","JKIL","J.Kumar Infraprojects","A","5.0000","1","ES","E","BSE","694.8000","463.2000","","","-1"
"1247","GSFC","Gujarat State Fertilizers","EQ","5.0000","1","ES","E","NSE","349.1000","232.8000","","","343487"
"3099","SHREDIGCEM","Shree Digvijay Cement","EQ","5.0000","1","ES","E","NSE","139.0500","92.7500","","","862715"
"357","NAM-INDIA","Nippon Life Asset Management","EQ","5.0000","1","ES","E","NSE","583.6000","389.1000","","","205543"
"517397","PANELEC","Pan Electronics India","XT","1.0000","1","ES","E","BSE","30.4600","27.5600","","","-1"
"20134","RAMKY","Ramky Infrastructure","EQ","5.0000","1","ES","E","NSE","967.3000","644.9000","","","124002"
"532785","RUCHIRA","Ruchira Papers","B","5.0000","1","ES","E","BSE","168.4000","112.3000","","","-1"
"13420","JETAIRWAYS","Jet Airways","BZ","5.0000","1","ES","E","NSE","57.9000","52.4000","","","1813127"
"6066","ATGL","Adani Gas","EQ","5.0000","1","ES","E","NSE","1095.9500","896.7500","","","100082"
"531994","AUTOPINS","Auto Pins","XT","5.0000","1","ES","E","BSE","132.7500","120.1500","","","-1"
"539679","KAPILRAJ","Kapil Raj Finance","X","1.0000","1","ES","E","BSE","21.0600","19.0600","","","-1"
"530095","PRADHIN","Pradhin","XT","1.0000","1","ES","E","BSE","45.7500","41.4100","","","-1"
"24403","ASHIANA","Ashiana Housing","EQ","5.0000","1","ES","E","NSE","342.6500","228.4500","","","350128"
"17520","RTNPOWER","Rattanindia Power","EQ","5.0000","1","ES","E","NSE","10.4000","9.4500","","","10047468"
"4911","MADRASFERT","MADRAS FERTILISERS LTD","EQ","5.0000","1","ES","E","NSE","137.3000","91.6000","","","873652"
"14218","CTE","Cambridge Technology","EQ","5.0000","1","ES","E","NSE","91.2000","60.8000","","","641934"
